ID1,ID,@id,samplesamplingPoint,samplesamplingPointnotation,samplesamplingPointlabel,samplesampleDateTime,determinandlabel,determinanddefinition,determinandnotation,resultQualifiernotation,result,codedResultInterpretationinterpretation,determinandunitlabel,samplesampledMaterialTypelabel,sampleisComplianceSample,samplepurposelabel,samplesamplingPointeasting,samplesamplingPointnorthing
1,1,http://environment.data.gov.uk/water-quality/data/measurement/AN-1246432-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-011396,AN-011396,BUCKINGHAM GOLF CLUB TINGEWICK RD.,2004-01-12T13:40:00,Sld Sus@105C,"Solids, Suspended at 105 C",135,None,6.7,None,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),467020,233400
2,2,http://environment.data.gov.uk/water-quality/data/measurement/AN-1246432-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-011396,AN-011396,BUCKINGHAM GOLF CLUB TINGEWICK RD.,2004-01-12T13:40:00,BOD ATU,BOD : 5 Day ATU,85,None,3.7,None,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),467020,233400
3,3,http://environment.data.gov.uk/water-quality/data/measurement/AN-1246432-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-011396,AN-011396,BUCKINGHAM GOLF CLUB TINGEWICK RD.,2004-01-12T13:40:00,Ammonia(N),Ammoniacal Nitrogen as N,111,None,0.5,None,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),467020,233400
4,4,http://environment.data.gov.uk/water-quality/data/measurement/AN-1276354-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-011396,AN-011396,BUCKINGHAM GOLF CLUB TINGEWICK RD.,2004-06-24T09:45:00,Sld Sus@105C,"Solids, Suspended at 105 C",135,None,18.4,None,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),467020,233400
5,14,http://environment.data.gov.uk/water-quality/data/measurement/AN-1246413-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01558,AN-01558,ROBIN HOOD PH BUFFLERS HOLT,2004-01-12T09:10:00,Sld Sus@105C,"Solids, Suspended at 105 C",135,None,6.9,None,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),466660,235220
6,24,http://environment.data.gov.uk/water-quality/data/measurement/AN-1251576-6450,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2004-02-02T12:00:00,Cu Filtered,"Copper, Dissolved",6450,None,2.5,None,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
7,34,http://environment.data.gov.uk/water-quality/data/measurement/AN-1251576-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2004-02-02T12:00:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,None,96.3,None,%,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
8,44,http://environment.data.gov.uk/water-quality/data/measurement/AN-1251576-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2004-02-02T12:00:00,Temp Water,Temperature of Water,76,None,8.24,None,cel,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
9,54,http://environment.data.gov.uk/water-quality/data/measurement/AN-1258916-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2004-03-09T12:10:00,BOD ATU,BOD : 5 Day ATU,85,None,1.4,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
10,64,http://environment.data.gov.uk/water-quality/data/measurement/AN-1258916-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2004-03-09T12:10:00,N Oxidised,"Nitrogen, Total Oxidised as N",116,None,8.85,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
11,74,http://environment.data.gov.uk/water-quality/data/measurement/AN-1258916-0108,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2004-03-09T12:10:00,Cadmium - Cd,Cadmium,108,None,0.1,None,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
12,84,http://environment.data.gov.uk/water-quality/data/measurement/AN-1263916-6051,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2004-04-14T11:35:00,Iron - as Fe,Iron,6051,None,84.0,None,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
13,94,http://environment.data.gov.uk/water-quality/data/measurement/AN-1263916-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2004-04-14T11:35:00,Nitrite-N,Nitrite as N,118,None,0.0182,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
14,104,http://environment.data.gov.uk/water-quality/data/measurement/AN-1263916-6450,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2004-04-14T11:35:00,Cu Filtered,"Copper, Dissolved",6450,None,2.5,None,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
15,114,http://environment.data.gov.uk/water-quality/data/measurement/AN-1269092-3164,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2004-05-06T12:35:00,Chromium -Cr,Chromium,3164,None,1.8,None,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
16,124,http://environment.data.gov.uk/water-quality/data/measurement/AN-1269092-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2004-05-06T12:35:00,Nitrite-N,Nitrite as N,118,None,0.0363,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
17,134,http://environment.data.gov.uk/water-quality/data/measurement/AN-1269092-6462,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2004-05-06T12:35:00,Nickel - Ni,Nickel,6462,None,5.0,None,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
18,144,http://environment.data.gov.uk/water-quality/data/measurement/AN-1273319-6051,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2004-06-01T12:00:00,Iron - as Fe,Iron,6051,None,150.0,None,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
