ID1,ID,@id,samplesamplingPoint,samplesamplingPointnotation,samplesamplingPointlabel,samplesampleDateTime,determinandlabel,determinanddefinition,determinandnotation,resultQualifiernotation,result,codedResultInterpretationinterpretation,determinandunitlabel,samplesampledMaterialTypelabel,sampleisComplianceSample,samplepurposelabel,samplesamplingPointeasting,samplesamplingPointnorthing
1,1241,http://environment.data.gov.uk/water-quality/data/measurement/AN-1844329-0733,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-03M28,AN-03M28,R.OUSE WOLVERTON MILL,2016-08-31T11:22:00,B-[k]-fluora,Benzo(k)Fluoranthene,733,None,0.00041000000000000005,None,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),479484,241178
2,1251,http://environment.data.gov.uk/water-quality/data/measurement/AN-1854274-0746,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-03M28,AN-03M28,R.OUSE WOLVERTON MILL,2016-11-25T13:13:00,Ind123pyrene,"Indeno(1,2,3-cd)pyrene",746,None,0.0009000000000000001,None,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),479484,241178
3,1261,http://environment.data.gov.uk/water-quality/data/measurement/AN-1829513-0664,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-041668,AN-041668,"JORDAN TECHNOLOGY PARK, SILVERSTONE",2016-04-18T12:44:00,Oil & Grs Vs,"Visible oil or grease, significant trace: Present/Not found (1/0)",664,None,0.0,None,pres/nf,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),466656,242208
4,1271,http://environment.data.gov.uk/water-quality/data/measurement/AN-1847705-0664,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-041675,AN-041675,THE NAVIGATION COSGROVE,2016-10-11T12:41:00,Oil & Grs Vs,"Visible oil or grease, significant trace: Present/Not found (1/0)",664,None,0.0,None,pres/nf,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),478766,243597
5,1281,http://environment.data.gov.uk/water-quality/data/measurement/AN-1829449-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04959,AN-04959,DUNCOTE HALL DUNCOTE TOWCESTER,2016-04-18T11:32:00,BOD ATU,BOD : 5 Day ATU,85,None,23.0,None,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),467550,250870
6,1291,http://environment.data.gov.uk/water-quality/data/measurement/AN-1857905-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04959,AN-04959,DUNCOTE HALL DUNCOTE TOWCESTER,2016-12-07T13:00:00,BOD ATU,BOD : 5 Day ATU,85,None,12.2,None,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE FORMAL (PERMIT),467550,250870
7,1301,http://environment.data.gov.uk/water-quality/data/measurement/AN-1824209-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2016-02-16T13:53:00,N Oxidised,"Nitrogen, Total Oxidised as N",116,None,6.63,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
8,1311,http://environment.data.gov.uk/water-quality/data/measurement/AN-1828492-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2016-03-31T10:21:00,NH3 un-ion,Ammonia un-ionised as N,119,None,0.00042,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
9,1321,http://environment.data.gov.uk/water-quality/data/measurement/AN-1828492-0348,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2016-03-31T10:21:00,Phosphorus-P,"Phosphorus, Total as P",348,None,0.0869,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
10,1331,http://environment.data.gov.uk/water-quality/data/measurement/AN-1835222-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2016-06-14T11:35:00,N Oxidised,"Nitrogen, Total Oxidised as N",116,None,4.4,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
11,1341,http://environment.data.gov.uk/water-quality/data/measurement/AN-1847587-0348,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2016-10-10T09:02:00,Phosphorus-P,"Phosphorus, Total as P",348,None,0.261,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
12,1351,http://environment.data.gov.uk/water-quality/data/measurement/AN-1851273-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2016-11-08T14:38:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,None,96.0,None,%,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
13,1361,http://environment.data.gov.uk/water-quality/data/measurement/AN-1851761-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2016-11-14T14:42:00,Nitrate-N,Nitrate as N,117,None,11.5,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
14,1371,http://environment.data.gov.uk/water-quality/data/measurement/AN-1854379-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2016-11-28T13:18:00,NH3 un-ion,Ammonia un-ionised as N,119,None,0.00051,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
15,1381,http://environment.data.gov.uk/water-quality/data/measurement/AN-1820848-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M04,AN-04M04,R.TOVE CAPPENHAM BRIDGE,2016-01-06T12:20:00,N Oxidised,"Nitrogen, Total Oxidised as N",116,None,8.3,None,mg/l,RIVER / RUNNING SURFACE WATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),471467,248759
16,1391,http://environment.data.gov.uk/water-quality/data/measurement/AN-1824210-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M04,AN-04M04,R.TOVE CAPPENHAM BRIDGE,2016-02-16T14:40:00,Orthophospht,"Orthophosphate, reactive as P",180,None,0.099,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),471467,248759
17,1401,http://environment.data.gov.uk/water-quality/data/measurement/AN-1829887-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M04,AN-04M04,R.TOVE CAPPENHAM BRIDGE,2016-04-25T13:10:00,N Oxidised,"Nitrogen, Total Oxidised as N",116,None,6.32,None,mg/l,RIVER / RUNNING SURFACE WATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),471467,248759
18,1411,http://environment.data.gov.uk/water-quality/data/measurement/AN-1834799-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M04,AN-04M04,R.TOVE CAPPENHAM BRIDGE,2016-06-07T11:33:00,Sld Sus@105C,"Solids, Suspended at 105 C",135,None,3.0,None,mg/l,RIVER / RUNNING SURFACE WATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),471467,248759
19,1421,http://environment.data.gov.uk/water-quality/data/measurement/AN-1837267-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M04,AN-04M04,R.TOVE CAPPENHAM BRIDGE,2016-06-28T12:45:00,Temp Water,Temperature of Water,76,None,15.4,None,cel,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),471467,248759
20,1431,http://environment.data.gov.uk/water-quality/data/measurement/AN-1846359-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M04,AN-04M04,R.TOVE CAPPENHAM BRIDGE,2016-09-15T12:42:00,Orthophospht,"Orthophosphate, reactive as P",180,None,0.417,None,mg/l,RIVER / RUNNING SURFACE WATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),471467,248759
