ID1,ID,@id,samplesamplingPoint,samplesamplingPointnotation,samplesamplingPointlabel,samplesampleDateTime,determinandlabel,determinanddefinition,determinandnotation,resultQualifiernotation,result,codedResultInterpretationinterpretation,determinandunitlabel,samplesampledMaterialTypelabel,sampleisComplianceSample,samplepurposelabel,samplesamplingPointeasting,samplesamplingPointnorthing
1,1,http://environment.data.gov.uk/water-quality/data/measurement/AN-1768808-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2014-08-20T12:22:00,Ammonia(N),Ammoniacal Nitrogen as N,111,None,0.03,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
2,10,http://environment.data.gov.uk/water-quality/data/measurement/AN-1776525-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2014-10-23T11:44:00,N Oxidised,"Nitrogen, Total Oxidised as N",116,None,4.1,None,mg/l,RIVER / RUNNING SURFACE WATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),459427,236819
3,19,http://environment.data.gov.uk/water-quality/data/measurement/AN-1776750-0348,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2014-10-28T12:15:00,Phosphorus-P,"Phosphorus, Total as P",348,None,0.09970000000000001,None,mg/l,RIVER / RUNNING SURFACE WATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),459427,236819
4,28,http://environment.data.gov.uk/water-quality/data/measurement/AN-1777928-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2014-11-11T10:41:00,N Oxidised,"Nitrogen, Total Oxidised as N",116,None,7.68,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
5,37,http://environment.data.gov.uk/water-quality/data/measurement/AN-1768808-0162,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2014-08-20T12:22:00,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,162,None,273.0,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
6,46,http://environment.data.gov.uk/water-quality/data/measurement/AN-1744446-0348,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M07,AN-01M07,R.OUSE BOURTON MILL,2014-01-08T13:21:00,Phosphorus-P,"Phosphorus, Total as P",348,None,0.14400000000000002,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),470789,233419
7,55,http://environment.data.gov.uk/water-quality/data/measurement/AN-1744446-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M07,AN-01M07,R.OUSE BOURTON MILL,2014-01-08T13:21:00,Temp Water,Temperature of Water,76,None,7.0,None,cel,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),470789,233419
8,64,http://environment.data.gov.uk/water-quality/data/measurement/AN-1749179-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M07,AN-01M07,R.OUSE BOURTON MILL,2014-02-18T11:25:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,None,11.8,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),470789,233419
9,73,http://environment.data.gov.uk/water-quality/data/measurement/AN-1749179-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M07,AN-01M07,R.OUSE BOURTON MILL,2014-02-18T11:25:00,Ammonia(N),Ammoniacal Nitrogen as N,111,None,0.08600000000000001,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),470789,233419
10,82,http://environment.data.gov.uk/water-quality/data/measurement/AN-1774485-7668,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-011396,AN-011396,BUCKINGHAM GOLF CLUB TINGEWICK RD.,2014-10-09T16:44:00,NO FLOW/SAMP,No flow /No sample,7668,None,0.0,None,coded,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),467020,233400
11,91,http://environment.data.gov.uk/water-quality/data/measurement/AN-1748763-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2014-02-12T12:16:00,pH,pH,61,None,7.97,None,phunits,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
12,100,http://environment.data.gov.uk/water-quality/data/measurement/AN-1748763-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2014-02-12T12:16:00,NH3 un-ion,Ammonia un-ionised as N,119,None,0.0004900000000000001,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
13,109,http://environment.data.gov.uk/water-quality/data/measurement/AN-1751702-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2014-03-13T11:26:00,Nitrite-N,Nitrite as N,118,None,0.0112,None,mg/l,RIVER / RUNNING SURFACE WATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),459427,236819
14,118,http://environment.data.gov.uk/water-quality/data/measurement/AN-1759524-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2014-05-21T10:47:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,None,96.5,None,%,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
15,127,http://environment.data.gov.uk/water-quality/data/measurement/AN-1759524-0162,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2014-05-21T10:47:00,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,162,None,229.0,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),459427,236819
16,136,http://environment.data.gov.uk/water-quality/data/measurement/AN-1767137-0348,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M04,AN-01M04,R.OUSE A422 RD.BR.BRACKLEY,2014-07-31T11:43:00,Phosphorus-P,"Phosphorus, Total as P",348,None,0.109,None,mg/l,RIVER / RUNNING SURFACE WATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),459427,236819
17,145,http://environment.data.gov.uk/water-quality/data/measurement/AN-1750929-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M07,AN-01M07,R.OUSE BOURTON MILL,2014-03-05T12:31:00,N Oxidised,"Nitrogen, Total Oxidised as N",116,None,7.3,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),470789,233419
18,154,http://environment.data.gov.uk/water-quality/data/measurement/AN-1750929-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M07,AN-01M07,R.OUSE BOURTON MILL,2014-03-05T12:31:00,Cond @ 25C,Conductivity at 25 C,77,None,678.3,None,us/cm,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),470789,233419
19,163,http://environment.data.gov.uk/water-quality/data/measurement/AN-1757569-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-01M07,AN-01M07,R.OUSE BOURTON MILL,2014-05-06T14:31:00,Nitrate-N,Nitrate as N,117,None,6.91,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),470789,233419
