ID1,ID,@id,samplesamplingPoint,samplesamplingPointnotation,samplesamplingPointlabel,samplesampleDateTime,determinandlabel,determinanddefinition,determinandnotation,resultQualifiernotation,result,codedResultInterpretationinterpretation,determinandunitlabel,samplesampledMaterialTypelabel,sampleisComplianceSample,samplepurposelabel,samplesamplingPointeasting,samplesamplingPointnorthing
1,1108,http://environment.data.gov.uk/water-quality/data/measurement/AN-1684650-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-02M06,AN-02M06,PADBURY BK.TRIB.OUSE STRATTON AUDLEY MIL,2012-08-09T13:56:00,Ammonia(N),Ammoniacal Nitrogen as N,111,None,0.03,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),462725,228469
2,1109,http://environment.data.gov.uk/water-quality/data/measurement/AN-1684650-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-02M06,AN-02M06,PADBURY BK.TRIB.OUSE STRATTON AUDLEY MIL,2012-08-09T13:56:00,pH,pH,61,None,8.06,None,phunits,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),462725,228469
3,1110,http://environment.data.gov.uk/water-quality/data/measurement/AN-1684650-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-02M06,AN-02M06,PADBURY BK.TRIB.OUSE STRATTON AUDLEY MIL,2012-08-09T13:56:00,N Oxidised,"Nitrogen, Total Oxidised as N",116,None,9.65,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),462725,228469
4,1111,http://environment.data.gov.uk/water-quality/data/measurement/AN-1684650-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-02M06,AN-02M06,PADBURY BK.TRIB.OUSE STRATTON AUDLEY MIL,2012-08-09T13:56:00,Nitrate-N,Nitrate as N,117,None,9.62,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),462725,228469
5,1112,http://environment.data.gov.uk/water-quality/data/measurement/AN-1684650-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-02M06,AN-02M06,PADBURY BK.TRIB.OUSE STRATTON AUDLEY MIL,2012-08-09T13:56:00,Nitrite-N,Nitrite as N,118,None,0.031200000000000002,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),462725,228469
6,1098,http://environment.data.gov.uk/water-quality/data/measurement/AN-1677349-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-02M06,AN-02M06,PADBURY BK.TRIB.OUSE STRATTON AUDLEY MIL,2012-06-26T14:12:00,Sld Sus@105C,"Solids, Suspended at 105 C",135,None,3.0,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),462725,228469
7,1099,http://environment.data.gov.uk/water-quality/data/measurement/AN-1677349-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-02M06,AN-02M06,PADBURY BK.TRIB.OUSE STRATTON AUDLEY MIL,2012-06-26T14:12:00,N Oxidised,"Nitrogen, Total Oxidised as N",116,None,9.18,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),462725,228469
8,1100,http://environment.data.gov.uk/water-quality/data/measurement/AN-1677349-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-02M06,AN-02M06,PADBURY BK.TRIB.OUSE STRATTON AUDLEY MIL,2012-06-26T14:12:00,Ammonia(N),Ammoniacal Nitrogen as N,111,None,0.03,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),462725,228469
9,1101,http://environment.data.gov.uk/water-quality/data/measurement/AN-1677349-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-02M06,AN-02M06,PADBURY BK.TRIB.OUSE STRATTON AUDLEY MIL,2012-06-26T14:12:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,None,115.2,None,%,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),462725,228469
10,1102,http://environment.data.gov.uk/water-quality/data/measurement/AN-1677349-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-02M06,AN-02M06,PADBURY BK.TRIB.OUSE STRATTON AUDLEY MIL,2012-06-26T14:12:00,Nitrite-N,Nitrite as N,118,None,0.024,None,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),462725,228469
